Genome,Ala,Val,Leu,Ile,Pro,Cys,Met,Gly,Trp,Phe,Lys,Arg,His,Tyr,Thr,Glu,Gln,Asp,Asn,Ser
GWASMC-A15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GWASMC-A12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
AMR_MDS_5503,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bin228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SCUT-6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
UW16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GWASMC-A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GWASMC-A46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SCELSE-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCELSE-14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GWASMC-A34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW13-POB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bin45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A49,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
UW25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SCUT-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR_MDS_3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BAT3C415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCUT-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANDO1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GWASMC-A40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UW4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SCUT-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
