# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	64.243	0.0	834	97	LKKGGHDO_01214 Flagellar biosynthesis protein FlhA	20	693	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	30.488	0.19	26.6	99	LKKGGHDO_01713 hypothetical protein	124	190	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.000	1.2	25.0	97	LKKGGHDO_00784 hypothetical protein	239	330	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.000	1.2	25.0	97	LKKGGHDO_00784 hypothetical protein	239	330	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	31.190	9.52e-57	185	90	LKKGGHDO_04122 Glutathione-regulated potassium-efflux system protein KefC	41	341	transporter
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	24.281	1.57e-26	104	90	LKKGGHDO_04122 Glutathione-regulated potassium-efflux system protein KefC	28	338	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	34.528	2.89e-53	176	82	LKKGGHDO_04122 Glutathione-regulated potassium-efflux system protein KefC	27	327	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	31.333	7.69e-54	177	89	LKKGGHDO_04122 Glutathione-regulated potassium-efflux system protein KefC	41	338	transporter
gnl|TC-DB|E8QNY4|1.A.1.13.9	1.A.1.13.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|E8QNY4|1.A.1.13.9	21.538	1.22e-18	83.2	84	LKKGGHDO_04122 Glutathione-regulated potassium-efflux system protein KefC	27	335	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	35.909	5.99e-29	108	84	LKKGGHDO_00672 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	1	214	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	44.569	2.10e-65	203	92	LKKGGHDO_00672 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	8	271	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	22.749	1.22e-07	47.8	81	LKKGGHDO_02093 Stringent starvation protein A	9	194	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	22.564	0.012	32.7	77	LKKGGHDO_02004 hypothetical protein	10	194	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	30.645	1.17e-11	58.9	79	LKKGGHDO_02004 hypothetical protein	13	196	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	42.714	1.39e-52	165	94	LKKGGHDO_02093 Stringent starvation protein A	1	197	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	24.638	1.77e-12	64.7	75	LKKGGHDO_00797 hypothetical protein	174	430	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	25.424	0.12	26.2	97	LKKGGHDO_01060 tRNA modification GTPase MnmE	199	251	transporter
